,,Passing,Passing,Passing,Passing,Passing,,,Rushing,Rushing,Rushing,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Cmp,Att,Yds,TD,Int,2PP,Sk,Att,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Arizona Cardinals,16,341,505,3567,20,7,1,49,52,157,4,238.48,258.3,245.8,14.9,16.1,15.4
Atlanta Falcons,16,396,582,4372,33,14,,37,70,387,4,339.48,377.1,353.6,21.2,23.6,22.1
Baltimore Ravens,16,337,575,3651,21,12,1,43,45,195,2,233.74,257.5,245.5,14.6,16.1,15.3
Buffalo Bills,16,312,490,3081,21,16,,36,56,156,0,188.34,212.1,203.6,11.8,13.3,12.7
Carolina Panthers,16,352,526,4005,31,13,1,35,56,231,2,291.42,322.3,304.3,18.2,20.1,19.0
Chicago Bears,16,375,613,3798,21,27,3,50,30,185,1,206.42,239.4,233.4,12.9,15.0,14.6
Cincinnati Bengals,16,388,582,4524,32,12,2,34,78,309,3,331.16,365.9,343.9,20.7,22.9,21.5
Cleveland Browns,16,393,626,4370,21,17,2,37,75,323,5,281.20,318.1,298.1,17.6,19.9,18.6
Dallas Cowboys,16,367,542,3984,22,9,1,39,72,247,2,254.06,285.1,263.1,15.9,17.8,16.4
Denver Broncos,16,352,547,4238,25,17,,44,47,92,1,242.92,277.7,257.7,15.2,17.4,16.1
Detroit Lions,16,322,495,3889,29,7,2,43,48,119,2,278.26,299.3,285.8,17.4,18.7,17.9
Green Bay Packers,16,333,524,4017,29,7,2,44,58,186,1,284.18,304.2,291.7,17.8,19.0,18.2
Houston Texans,16,382,591,4375,26,15,1,43,58,271,0,270.10,304.1,285.1,16.9,19.0,17.8
Indianapolis Colts,16,383,541,4029,21,15,,38,47,182,4,254.66,285.7,270.7,15.9,17.9,16.9
Jacksonville Jaguars,16,312,499,3354,17,11,,37,92,471,5,253.66,273.7,265.2,15.9,17.1,16.6
Kansas City Chiefs,16,406,632,4721,30,15,4,52,42,219,4,318.74,358.7,333.7,19.9,22.4,20.9
Los Angeles Chargers,16,350,547,3874,23,13,1,38,62,241,0,243.06,261.1,256.1,15.2,16.3,16.0
Los Angeles Rams,16,346,531,4074,30,18,2,40,46,275,0,266.56,305.5,284.5,16.7,19.1,17.8
Miami Dolphins,16,335,507,4141,31,21,1,31,65,383,2,298.74,339.3,319.8,18.7,21.2,20.0
Minnesota Vikings,16,314,501,3457,15,12,4,50,57,250,3,219.28,243.3,231.3,13.7,15.2,14.5
New England Patriots,16,369,604,4160,29,18,,30,44,303,1,276.80,311.8,295.3,17.3,19.5,18.5
New Orleans Saints,16,383,572,4573,29,12,5,49,61,291,5,336.02,370.0,348.0,21.0,23.1,21.8
New York Giants,16,360,558,4222,23,16,3,30,74,308,2,277.38,306.3,293.8,17.3,19.1,18.4
New York Jets,16,366,580,4343,29,13,,39,62,353,3,317.42,347.0,330.0,19.8,21.7,20.6
Oakland Raiders,16,298,479,3881,35,14,1,13,63,258,2,303.04,322.0,317.0,18.9,20.1,19.8
Philadelphia Eagles,16,415,622,4602,22,10,1,44,59,261,4,296.28,331.2,306.2,18.5,20.7,19.1
Pittsburgh Steelers,16,362,566,4044,27,8,2,52,42,200,1,277.06,304.1,285.6,17.3,19.0,17.9
San Francisco 49ers,16,344,542,3959,35,2,2,37,60,163,0,310.66,326.7,312.7,19.4,20.4,19.5
Seattle Seahawks,16,355,546,4103,26,12,,43,41,216,0,255.72,291.7,267.7,16.0,18.2,16.7
Tampa Bay Buccaneers,16,386,533,4378,33,9,1,38,72,301,2,334.02,367.2,342.7,20.9,23.0,21.4
Tennessee Titans,16,336,529,3713,21,11,,39,58,266,2,242.10,266.7,253.2,15.1,16.7,15.8
Washington Redskins,16,362,535,4091,27,15,2,46,66,250,3,281.24,314.7,294.2,17.6,19.7,18.4
