,,Passing,Passing,Passing,Passing,Passing,,,Rushing,Rushing,Rushing,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Cmp,Att,Yds,TD,Int,2PP,Sk,Att,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Arizona Cardinals,17,365,559,3835,30,13,3,41,59,260,3,277.40,303.4,290.4,16.3,17.8,17.1
Atlanta Falcons,17,389,574,4079,31,12,3,17,93,430,4,332.56,350.2,344.2,19.6,20.6,20.2
Baltimore Ravens,17,397,620,4986,31,9,1,32,41,125,2,323.94,354.9,332.9,19.1,20.9,19.6
Buffalo Bills,17,297,529,3047,12,19,2,41,77,292,5,190.88,215.9,210.4,11.2,12.7,12.4
Carolina Panthers,17,336,514,3543,26,9,1,39,70,262,3,273.92,291.5,283.0,16.1,17.1,16.6
Chicago Bears,17,314,477,3623,31,8,1,49,60,202,5,295.22,317.1,303.1,17.4,18.7,17.8
Cincinnati Bengals,17,419,625,4487,26,13,1,42,57,252,1,286.68,321.7,299.7,16.9,18.9,17.6
Cleveland Browns,17,367,575,3712,29,13,1,43,67,207,3,273.48,295.2,286.2,16.1,17.4,16.8
Dallas Cowboys,17,362,608,4321,24,26,2,41,75,315,4,270.34,318.3,296.3,15.9,18.7,17.4
Denver Broncos,17,341,562,3901,22,13,,36,74,308,2,258.84,283.8,271.8,15.2,16.7,16.0
Detroit Lions,17,359,543,4361,31,11,1,30,74,267,0,303.44,328.1,314.1,17.8,19.3,18.5
Green Bay Packers,17,378,600,3946,30,18,2,39,76,455,3,297.44,327.3,315.3,17.5,19.3,18.5
Houston Texans,17,363,546,4342,27,17,2,32,68,176,5,297.48,332.3,316.3,17.5,19.5,18.6
Indianapolis Colts,17,390,596,4203,32,19,3,33,72,382,0,297.12,326.0,316.0,17.5,19.2,18.6
Jacksonville Jaguars,17,377,543,4111,24,7,1,32,64,331,4,301.84,322.5,308.5,17.8,19.0,18.1
Kansas City Chiefs,17,398,606,4442,26,15,1,31,76,389,7,329.78,362.7,344.7,19.4,21.3,20.3
Las Vegas Raiders,17,399,604,3980,29,6,4,34,67,279,1,293.50,317.1,299.1,17.3,18.7,17.6
Los Angeles Chargers,17,356,557,3991,27,11,3,34,58,294,3,291.14,316.1,302.6,17.1,18.6,17.8
Los Angeles Rams,17,414,622,4435,16,19,2,50,58,292,4,258.90,297.6,277.6,15.2,17.5,16.3
Miami Dolphins,17,373,605,4251,23,14,,48,62,216,3,263.84,294.6,277.6,15.5,17.3,16.3
Minnesota Vikings,17,400,625,4643,29,16,5,51,63,336,1,309.42,348.3,325.3,18.2,20.5,19.1
New England Patriots,17,319,538,3437,21,23,,36,71,291,2,212.58,246.6,235.6,12.5,14.5,13.9
New Orleans Saints,17,369,591,4131,20,18,,46,71,287,5,261.94,295.9,279.9,15.4,17.4,16.5
New York Giants,17,401,609,4022,27,14,,34,55,229,2,272.68,299.4,285.4,16.0,17.6,16.8
New York Jets,17,399,583,4611,27,7,1,33,71,298,3,324.54,345.2,331.2,19.1,20.3,19.5
Philadelphia Eagles,17,409,589,3976,28,12,1,29,66,175,4,288.54,307.5,300.5,17.0,18.1,17.7
Pittsburgh Steelers,17,355,562,3977,24,13,,55,74,394,3,278.58,301.5,291.5,16.4,17.7,17.1
San Francisco 49ers,17,369,540,3815,25,9,2,48,64,362,4,294.40,315.4,303.9,17.3,18.6,17.9
Seattle Seahawks,17,443,658,4766,24,11,2,34,59,231,0,287.74,316.7,298.7,16.9,18.6,17.6
Tampa Bay Buccaneers,17,443,676,4302,26,17,1,47,84,399,3,293.98,334.0,311.0,17.3,19.6,18.3
Tennessee Titans,17,395,627,4485,24,16,1,43,62,230,5,298.00,331.9,314.4,17.5,19.5,18.5
Washington Football Team,17,400,597,4520,34,11,,38,83,476,5,365.50,393.5,377.0,21.5,23.1,22.2
