G.,Opp,Tier,Cmp,Att,Cmp%,Yds,AY.A,TD,TD%,Int,Int%,Rate,R.Atts,R.Yds,R.Avg,R.TDs,Throwing,Rushing
1,BAL,1,21,39,53.9,189,4.2,1,2.6,1,2.6,65.0,2,3,1.5,0,F,F
2,CIN,5,16,23,69.6,219,9.3,2,8.7,1,4.3,110.6,3,5,1.7,0,B,F
3,WAS,1,16,23,69.6,156,8.5,2,8.7,0,0.0,117.3,1,1,1.0,0,A,F
4,DAL,6,19,30,63.3,165,6.8,2,6.7,0,0.0,100.0,3,6,2.0,0,D,F
5,IND,2,21,37,56.8,247,5.3,2,5.4,2,5.4,72.7,2,17,8.5,0,D,F
6,PIT,1,10,18,55.6,119,2.7,1,5.6,2,11.1,54.9,1,5,5.0,0,F,F
7,CIN,5,22,28,78.6,297,12.6,5,17.9,1,3.6,135.6,1,-1,-1.0,0,A,F
8,LVR,6,12,25,48.0,122,4.9,0,0.0,0,0.0,62.4,6,29,4.8,0,F,C
9,HOU,6,12,20,60.0,132,6.6,0,0.0,0,0.0,79.6,3,1,0.3,0,F,F
10,PHI,4,12,22,54.5,204,9.3,0,0.0,0,0.0,86.2,6,9,1.5,0,D,F
11,JAX,6,19,29,65.5,258,10.3,2,6.9,0,0.0,116.7,4,1,0.2,0,B,F
12,TEN,5,25,33,75.8,334,12.6,4,12.1,0,0.0,147.0,4,5,1.2,0,A,F
13,BAL,1,28,47,59.6,343,7.2,2,4.3,1,2.1,87.5,5,23,4.6,1,B,B
14,NYG,3,27,32,84.4,297,10.5,2,6.2,0,0.0,126.2,4,11,2.8,0,A,F
15,NYJ,5,28,53,52.8,285,5.4,0,0.0,0,0.0,68.5,3,6,2.0,0,D,F
16,PIT,1,17,27,63.0,196,8.0,1,3.7,0,0.0,97.1,6,44,7.3,0,B,B
16 games,Total/Avg,3.6,305,486,63.2,3563,7.8,26,5.6,8,1.8,95.5,54,165,2.7,1,,
