G.,Opp,Tier,Cmp,Att,Cmp%,Yds,AY.A,TD,TD%,Int,Int%,Rate,R.Atts,R.Yds,R.Avg,R.TDs,Throwing,Rushing
1,KAN,2,21,28,75.0,321,9.9,0,0.0,1,3.6,97.5,1,7,7.0,0,B,F
2,HOU,6,19,21,90.5,213,8.9,1,4.8,1,4.8,105.0,8,10,1.2,1,C,D
3,CHI,5,19,31,61.3,246,8.6,1,3.2,0,0.0,97.0,4,31,7.8,0,C,C
4,MIN,6,15,33,45.5,155,4.7,0,0.0,0,0.0,59.5,2,11,5.5,0,F,F
5,LAC,6,23,32,71.9,305,10.8,2,6.2,0,0.0,122.5,2,8,4.0,0,A,F
6,ARI,2,19,28,67.9,234,8.2,2,7.1,1,3.6,102.4,3,8,2.7,0,B,F
8,PIT,4,20,31,64.5,225,7.3,0,0.0,0,0.0,86.1,1,5,5.0,0,C,F
9,CIN,2,14,21,66.7,218,12.3,2,9.5,0,0.0,132.6,0,0,0.0,0,B,F
10,NWE,1,11,21,52.4,73,2.3,1,4.8,1,4.8,56.2,0,0,0.0,0,F,F
11,DET,6,15,29,51.7,176,3.7,1,3.4,2,6.9,53.2,4,9,2.2,0,F,F
12,BAL,4,18,37,48.6,247,7.2,1,2.7,0,0.0,79.4,2,4,2.0,0,D,F
13,BAL,4,22,32,68.8,190,5.8,2,6.2,1,3.1,91.9,6,14,2.3,0,D,F
15,GNB,3,21,36,58.3,222,2.3,2,5.6,4,11.1,55.3,2,11,5.5,0,F,F
16,PIT,4,16,38,42.1,185,3.5,2,5.3,2,5.3,53.1,2,16,8.0,0,F,F
14 Games,Total/Avg,3.9,253,418,61.8,3010,6.8,17,4.2,13,3.1,85.1,37,134,3.8,1,,
